original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
THE LENOX,the-lenox,https://www.edgeprop.sg/condo-apartment/the-lenox,https://www.edgeprop.sg/condo-apartment/the-lenox,"2,594","3,631",1.4,THE LENOX,Changi Road,"415899, 419845",Apartment,Freehold,D14 / Bedok,2014,76 units,"S$ 1,798 psf in Feb 2015 for a 334-sqft unit",-1.9%,"S$ 849 psf in Feb 2010 for a 1,378-sqft unit","Singaporean 70.1%, PR 25.9%, Foreigner 3.4%, Company 0.7%","HDB 60.5%, Private 39.5%","S$ 1,760 - S$ 1,765 psf / S$ 1,763 psf",S$ 4.1 - S$ 6.9 psf pm / S$ 5.5 psf pm,3.7%,BRAVO BUILDING CONSTRUCTION PTE LTD,11.0,RONNY CHIN & ASSOCIATES,OAS ENGINEERING PTE LTD,,the-lenox,396 CHANGI ROAD THE LENOX SINGAPORE 415899,415899,1.31824376273926,103.911351165333,396,CHANGI ROAD,THE LENOX,KEMBANGAN MRT STATION,346.4729888966108,Exit A
SUNSTONE HILL,sunstone-hill,https://www.edgeprop.sg/condo-apartment/sunstone-hill,https://www.edgeprop.sg/condo-apartment/sunstone-hill,"1,173","1,642",1.4,SUNSTONE HILL,BALMEG HILL,117346,-,-,D5 / Queenstown,2023,28 units,-,-,-,-,-,,,,SUNSTONE PROPERTIES (PASIR PANJANG) PTE LTD,2.0,,,,sunstone-hill,250N PASIR PANJANG ROAD SUNSTONE HILL SINGAPORE 117346,117346,1.28206933733553,103.783680723526,250N,PASIR PANJANG ROAD,SUNSTONE HILL,HAW PAR VILLA MRT STATION,216.0169958343944,Exit A
SOPHIA LODGE,sophia-lodge,https://www.edgeprop.sg/condo-apartment/sophia-lodge,https://www.edgeprop.sg/condo-apartment/sophia-lodge,692,"1,450",2.1,SOPHIA LODGE,Sophia Road,228152,Apartment,Freehold,D9 / Rochor,2006,15 units,"S$ 1,648 psf in Feb 2025 for a 1,001-sqft unit",-1.0%,S$ 732 psf in Apr 2005 for a 990-sqft unit,"Singaporean 66.7%, PR 23.8%, Foreigner 9.5%, Company 0.0%","HDB 65.0%, Private 35.0%","S$ 1,616 - S$ 1,648 psf / S$ 1,632 psf",S$ 5.1 - S$ 5.6 psf pm / S$ 5.4 psf pm,4.0%,MYRIAD FORTE CONSTRUCTION PTE LTD,19.0,,,,sophia-lodge,69 SOPHIA ROAD SOPHIA LODGE SINGAPORE 228152,228152,1.30167268608664,103.848036171953,69,SOPHIA ROAD,SOPHIA LODGE,DHOBY GHAUT MRT STATION,332.9006071507174,Exit F
STUDIO 3,studio-3,https://www.edgeprop.sg/condo-apartment/studio-3,https://www.edgeprop.sg/condo-apartment/studio-3,"2,366","4,968",2.1,STUDIO 3,Shanghai Road,248196,Apartment,Freehold,D10 / Tanglin,2005,66 units,"S$ 2,072 psf in Mar 2025 for a 560-sqft unit",0.0%,"S$ 520 psf in Jan 2003 for a 1,485-sqft unit","Singaporean 81.5%, PR 9.6%, Foreigner 7.6%, Company 0.6%","HDB 37.6%, Private 62.4%","S$ 2,072 - S$ 2,072 psf / S$ 2,072 psf",S$ 3.9 - S$ 6.6 psf pm / S$ 5.8 psf pm,3.3%,FORTUNE DEVELOPMENT PTE LTD,20.0,,,,studio-3,28 SHANGHAI ROAD STUDIO 3 SINGAPORE 248196,248196,1.29570993713335,103.827568387283,28,SHANGHAI ROAD,STUDIO 3,GREAT WORLD MRT STATION,608.977392822412,Exit 4
EAST SHINE,east-shine,https://www.edgeprop.sg/condo-apartment/east-shine,https://www.edgeprop.sg/condo-apartment/east-shine,"1,799","2,518",1.4,EAST SHINE,Lorong Melayu,417026,Apartment,Freehold,D14 / Bedok,2004,25 units,"S$ 1,480 psf in Jan 2024 for a 980-sqft unit",0.0%,"S$ 481 psf in Jun 2003 for a 2,099-sqft unit","Singaporean 95.8%, PR 2.1%, Foreigner 2.1%, Company 0.0%","HDB 36.2%, Private 63.8%","S$ 1,480 - S$ 1,480 psf / S$ 1,480 psf",S$ 3.9 - S$ 4.6 psf pm / S$ 4.1 psf pm,3.3%,FRAGRANCE PROPERTIES PTE LTD,21.0,,,,east-shine,57 LORONG MELAYU EAST SHINE SINGAPORE 417026,417026,1.32277514689737,103.909811553258,57,LORONG MELAYU,EAST SHINE,KEMBANGAN MRT STATION,387.8024254155866,Exit B
FERRARIA PARK CONDOMINIUM,ferraria-park-condominium,https://www.edgeprop.sg/condo-apartment/ferraria-park-condominium,https://www.edgeprop.sg/condo-apartment/ferraria-park-condominium,"31,900","44,742",1.4,FERRARIA PARK CONDOMINIUM,Flora Drive,"506941, 506942, 506943, 506944, 506945, 506946, 506947, 506948, 506949, 506950, 506951, 506952",Condominium,Freehold,D17 / Pasir Ris,2009,472 units,"S$ 1,318 psf in Jul 2024 for a 1,389-sqft unit",-6.4%,"S$ 453 psf in Nov 2006 for a 1,302-sqft unit","Singaporean 85.7%, PR 10.4%, Foreigner 3.8%, Company 0.1%","HDB 54.5%, Private 45.5%","S$ 1,094 - S$ 1,318 psf / S$ 1,233 psf",S$ 2.5 - S$ 4.8 psf pm / S$ 3.4 psf pm,3.3%,TRIPARTITE DEVELOPERS PTE LTD,16.0,,,,ferraria-park-condominium,8 FLORA DRIVE FERRARIA PARK CONDOMINIUM SINGAPORE 506941,506941,1.35736420475575,103.963972049935,8,FLORA DRIVE,FERRARIA PARK CONDOMINIUM,TAMPINES EAST MRT STATION,918.6588135247702,Exit D
MIRO,miro,https://www.edgeprop.sg/condo-apartment/miro,https://www.edgeprop.sg/condo-apartment/miro,"3,501","9,802",2.8,MIRO,Lincoln Road,308365,Apartment,Freehold,D11 / Novena,2012,85 units,"S$ 2,438 psf in Sep 2012 for a 1,324-sqft unit",-30.4%,"S$ 1,115 psf in Jul 2015 for a 1,346-sqft unit","Singaporean 52.1%, PR 11.8%, Foreigner 35.3%, Company 0.8%","HDB 18.5%, Private 81.5%","S$ 1,642 - S$ 1,787 psf / S$ 1,698 psf",S$ 3.6 - S$ 4.9 psf pm / S$ 4.2 psf pm,3.0%,ARTS ASSOCIATE CO PTE LTD,13.0,ADDP ARCHITECTS,CHINA CONSTRUCTION BUILDERS PTE LTD,,miro,1 LINCOLN ROAD MIRO SINGAPORE 308365,308365,1.31393361941559,103.842380394708,1,LINCOLN ROAD,MIRO,NEWTON MRT STATION,461.34811775724063,Exit C
KELIVILLE,keliville,https://www.edgeprop.sg/condo-apartment/keliville,https://www.edgeprop.sg/condo-apartment/keliville,"2,120","2,967",1.4,KELIVILLE,JALAN KELI,"577931, 577932",-,-,D20 / Bishan,2005,16 units,-,-,-,-,-,,,,,20.0,,,,keliville,33 JALAN KELI KELIVILLE SINGAPORE 577932,577932,1.35551812684438,103.833932659314,33,JALAN KELI,KELIVILLE,UPPER THOMSON MRT STATION,152.73558892032912,Exit 3
THE HOLLAND COLLECTION,the-holland-collection,https://www.edgeprop.sg/condo-apartment/the-holland-collection,https://www.edgeprop.sg/condo-apartment/the-holland-collection,"3,319","4,647",1.4,THE HOLLAND COLLECTION,Holland Road,258859,Apartment,Freehold,D10 / Tanglin,2011,26 units,"S$ 2,218 psf in Apr 2010 for a 1,668-sqft unit",-0.0%,"S$ 1,386 psf in May 2018 for a 3,261-sqft unit","Singaporean 35.3%, PR 23.5%, Foreigner 29.4%, Company 11.8%","HDB 0.0%, Private 100.0%","S$ 2,217 - S$ 2,217 psf / S$ 2,217 psf",S$ 2.9 - S$ 4.3 psf pm / S$ 3.7 psf pm,2.0%,LIPPO PROJECT PTE LTD,14.0,CHAN SAU YAN ASSOCIATES,DAIYA ENGINEERING & CONSTRUCTION PTE LTD,,the-holland-collection,53 HOLLAND ROAD THE HOLLAND COLLECTION SINGAPORE 258859,258859,1.30888091521005,103.807669378659,53,HOLLAND ROAD,THE HOLLAND COLLECTION,FARRER ROAD MRT STATION,958.2654032630232,Exit A
GILSTEAD COURT,gilstead-court,https://www.edgeprop.sg/condo-apartment/gilstead-court,https://www.edgeprop.sg/condo-apartment/gilstead-court,"7,012","9,812",1.4,GILSTEAD COURT,Gilstead Road,"309094, 309097, 309098",Condominium,Freehold,D11 / Novena,1989,48 units,"S$ 2,048 psf in Jun 2025 for a 1,464-sqft unit",0.0%,"S$ 468 psf in Mar 1999 for a 1,389-sqft unit","Singaporean 96.9%, PR 0.0%, Foreigner 3.1%, Company 0.0%","HDB 9.4%, Private 90.6%","S$ 2,048 - S$ 2,048 psf / S$ 2,048 psf",S$ 2.2 - S$ 4.6 psf pm / S$ 3.5 psf pm,2.0%,,,,,,gilstead-court,54 GILSTEAD ROAD GILSTEAD COURT SINGAPORE 309098,309098,1.31859814644667,103.839822345285,54,GILSTEAD ROAD,GILSTEAD COURT,NOVENA MRT STATION,416.7895234737621,Exit B
PARC EMILY,parc-emily,https://www.edgeprop.sg/condo-apartment/parc-emily,https://www.edgeprop.sg/condo-apartment/parc-emily,516,"1,499",2.1,PARC EMILY,Mount Emily Road,"228490, 228491, 228492, 228493, 228494, 228495",Condominium,Freehold,D9 / Rochor,2008,295 units,"S$ 2,140 psf in Mar 2025 for a 549-sqft unit",-6.4%,"S$ 564 psf in Apr 2005 for a 1,884-sqft unit","Singaporean 71.1%, PR 14.7%, Foreigner 13.7%, Company 0.5%","HDB 31.4%, Private 68.6%","S$ 1,792 - S$ 2,140 psf / S$ 2,003 psf",S$ 3.8 - S$ 8.2 psf pm / S$ 5.4 psf pm,3.2%,TC DEVELOPMENT PTE LTD,17.0,ADDP ARCHITECTS,TIONG SENG CONTRACTORS (PRIVATE) LIMITED,,parc-emily,15 MOUNT EMILY ROAD PARC EMILY SINGAPORE 228495,228495,1.30351073200086,103.849134794298,15,MOUNT EMILY ROAD,PARC EMILY,LITTLE INDIA MRT STATION,234.24193991343407,Exit A
PARC KOMO,parc-komo,https://www.edgeprop.sg/condo-apartment/parc-komo,https://www.edgeprop.sg/condo-apartment/parc-komo,"18,589","26,025",1.4,PARC KOMO,Upper Changi Road North,"506786, 506787, 507663, 507665, 507666, 507667, 507668, 507669, 507670, 507671, 507672, 507673, 506788, 506789, 507664",Apartment,Freehold,D17 / Pasir Ris,2023,276 units,"S$ 1,995 psf in Dec 2023 for a 915-sqft unit",-13.9%,"S$ 1,389 psf in Jun 2019 for a 1,421-sqft unit","Singaporean 91.2%, PR 7.1%, Foreigner 1.6%, Company 0.0%","HDB 46.2%, Private 53.8%","S$ 1,570 - S$ 1,821 psf / S$ 1,717 psf",S$ 3.9 - S$ 6.4 psf pm / S$ 5.0 psf pm,3.5%,CEL REAL ESTATE DEVELOPMENT PTE LTD,2.0,,,,parc-komo,969 UPPER CHANGI ROAD NORTH PARC KOMO SINGAPORE 507667,507667,1.36118186477268,103.969423426956,969,UPPER CHANGI ROAD NORTH,PARC KOMO,TAMPINES EAST MRT STATION,1593.9575830623994,Exit D
LEEDON 2,leedon-2,https://www.edgeprop.sg/condo-apartment/leedon-2,https://www.edgeprop.sg/condo-apartment/leedon-2,"3,615","5,061",1.4,LEEDON 2,2 Leedon Road,267829,Condominium,Freehold,D10 / Bukit Timah,1996,72 units,"S$ 2,183 psf in Jun 2024 for a 764-sqft unit",-6.0%,"S$ 269 psf in Jul 1999 for a 3,272-sqft unit","Singaporean 84.5%, PR 11.3%, Foreigner 3.5%, Company 0.7%","HDB 19.3%, Private 80.7%","S$ 1,974 - S$ 2,129 psf / S$ 2,052 psf",S$ 3.9 - S$ 5.2 psf pm / S$ 4.6 psf pm,2.7%,,,,,,leedon-2,2 LEEDON ROAD LEEDON 2 SINGAPORE 267829,267829,1.31291902869754,103.796984203708,2,LEEDON ROAD,LEEDON 2,HOLLAND VILLAGE MRT STATION,210.9663185677541,Exit A
LILY TAN MANSION,lily-tan-mansion,https://www.edgeprop.sg/condo-apartment/lily-tan-mansion,https://www.edgeprop.sg/condo-apartment/lily-tan-mansion,795,"1,111",1.4,LILY TAN MANSION,Bristol Road,"219841, 219842",Apartment,Freehold,D8 / Kallang,Unknown,10 units,S$ 256 psf in Sep 2000 for a 958-sqft unit,-3.5%,"S$ 247 psf in Sep 2000 for a 1,152-sqft unit","Singaporean 100.0%, PR 0.0%, Foreigner 0.0%, Company 0.0%","HDB 0.0%, Private 0.0%",S$ 247 - S$ 247 psf / S$ 247 psf,S$ 3.6 - S$ 3.6 psf pm / S$ 3.6 psf pm,17.4%,,,,,,lily-tan-mansion,1D BRISTOL ROAD LILY TAN MANSION SINGAPORE 219841,219841,1.31333227997331,103.84985380736,1D,BRISTOL ROAD,LILY TAN MANSION,FARRER PARK MRT STATION,350.1999873423154,Exit E
THE BERTH BY THE COVE,the-berth-by-the-cove,https://www.edgeprop.sg/condo-apartment/the-berth-by-the-cove,https://www.edgeprop.sg/condo-apartment/the-berth-by-the-cove,"16,175","30,900",1.91,THE BERTH BY THE COVE,Ocean Drive,"098616, 098617, 098618, 098619, 098620, 098621, 098622, 098623, 098624, 098625, 098626, 098627, 098628, 098629, 098630",Condominium,99 Yrs From 18/03/2004,D4 / Southern Islands,2006,200 units,"S$ 2,200 psf in Nov 2007 for a 1,905-sqft unit",-38.0%,"S$ 680 psf in Jan 2005 for a 3,089-sqft unit","Singaporean 59.4%, PR 15.1%, Foreigner 20.0%, Company 5.6%","HDB 9.2%, Private 90.8%","S$ 1,086 - S$ 1,546 psf / S$ 1,364 psf",S$ 3.0 - S$ 5.9 psf pm / S$ 4.6 psf pm,4.1%,HO BEE (SENTOSA) PTE LTD,19.0,AXIS ARCHITECTS PLANNERS,KIM SENG HENG ENGINEERING CONSTRUCTION PTE LTD,,the-berth-by-the-cove,200 OCEAN DRIVE THE BERTH BY THE COVE SINGAPORE 098630,098630,1.24922154802832,103.846316385065,200,OCEAN DRIVE,THE BERTH BY THE COVE,TANJONG PAGAR MRT STATION,2916.6064456600247,Exit H
HOCK MANSION,hock-mansion,https://www.edgeprop.sg/condo-apartment/hock-mansion,https://www.edgeprop.sg/condo-apartment/hock-mansion,"1,259","2,643",2.1,HOCK MANSION,Wilkie Terrace,228022,Apartment,Freehold,D9 / Rochor,1975,14 units,"S$ 1,406 psf in Jul 2022 for a 1,636-sqft unit",-13.0%,"S$ 416 psf in May 2005 for a 1,636-sqft unit","Singaporean 71.4%, PR 21.4%, Foreigner 0.0%, Company 7.1%","HDB 15.4%, Private 84.6%","S$ 1,223 - S$ 1,223 psf / S$ 1,223 psf",S$ 2.6 - S$ 2.6 psf pm / S$ 2.6 psf pm,2.6%,,,,,,hock-mansion,1 WILKIE TERRACE HOCK MANSION SINGAPORE 228022,228022,1.30244482459515,103.848554295862,1,WILKIE TERRACE,HOCK MANSION,LITTLE INDIA MRT STATION,362.65856197398017,Exit A
SUNSHINE RESIDENCE,sunshine-residence,https://www.edgeprop.sg/condo-apartment/sunshine-residence,https://www.edgeprop.sg/condo-apartment/sunshine-residence,"1,116","1,562",1.4,SUNSHINE RESIDENCE,Lorong K Telok Kurau,425671,Apartment,Freehold,D15 / Bedok,2006,18 units,"S$ 1,461 psf in Sep 2022 for a 958-sqft unit",-6.6%,"S$ 521 psf in Sep 2005 for a 1,604-sqft unit","Singaporean 80.5%, PR 12.2%, Foreigner 7.3%, Company 0.0%","HDB 56.1%, Private 43.9%","S$ 1,365 - S$ 1,365 psf / S$ 1,365 psf",S$ 4.1 - S$ 5.3 psf pm / S$ 4.8 psf pm,4.2%,FRAGRANCE LAND PTE LTD,19.0,,,,sunshine-residence,61 LORONG K TELOK KURAU SUNSHINE RESIDENCE SINGAPORE 425671,425671,1.31301205892227,103.909868598439,61,LORONG K TELOK KURAU,SUNSHINE RESIDENCE,KEMBANGAN MRT STATION,943.7179068067552,Exit A
PROXIMO,proximo,https://www.edgeprop.sg/condo-apartment/proximo,https://www.edgeprop.sg/condo-apartment/proximo,"2,932","6,157",2.1,PROXIMO,ROBIN ROAD,258204,Apartment,Freehold,D10 / Tanglin,2005,49 units,"S$ 2,383 psf in Mar 2025 for a 1,119-sqft unit",-1.7%,"S$ 517 psf in May 2006 for a 2,164-sqft unit","Singaporean 83.7%, PR 4.1%, Foreigner 6.1%, Company 5.1%","HDB 17.3%, Private 82.7%","S$ 2,300 - S$ 2,383 psf / S$ 2,342 psf",S$ 4.4 - S$ 5.4 psf pm / S$ 4.7 psf pm,2.4%,WAH HOE DEVELOPMENT PTE LTD,20.0,,,,proximo,27 ROBIN ROAD PROXIMO SINGAPORE 258204,258204,1.31736223877921,103.82875324222,27,ROBIN ROAD,PROXIMO,STEVENS MRT STATION,345.47079187481864,Exit 2
THE DRAYCOTT,the-draycott,https://www.edgeprop.sg/condo-apartment/the-draycott,https://www.edgeprop.sg/condo-apartment/the-draycott,"14,974","31,440",2.1,THE DRAYCOTT,Draycott Park,"259388, 259389, 259390, 259391, 259392, 259393, 259394, 259395, 259396, 259397, 259398, 259399, 259400, 259401, 259402",Apartment,Freehold,D10 / Newton,1980,132 units,"S$ 2,434 psf in Mar 2025 for a 2,637-sqft unit",-8.0%,"S$ 607 psf in Nov 1998 for a 2,637-sqft unit","Singaporean 63.3%, PR 15.3%, Foreigner 15.3%, Company 4.1%","HDB 3.1%, Private 96.9%","S$ 1,896 - S$ 2,434 psf / S$ 2,240 psf",S$ 2.8 - S$ 4.3 psf pm / S$ 3.4 psf pm,1.8%,,,,,,the-draycott,5 DRAYCOTT DRIVE THE ARC AT DRAYCOTT SINGAPORE 259420,259420,1.30921416741461,103.830896261502,5,DRAYCOTT DRIVE,THE ARC AT DRAYCOTT,ORCHARD MRT STATION,513.5302594310183,Exit 1
ST THOMAS SUITES,st-thomas-suites,https://www.edgeprop.sg/condo-apartment/st-thomas-suites,https://www.edgeprop.sg/condo-apartment/st-thomas-suites,"12,543","35,120",2.8,ST THOMAS SUITES,St. Thomas Walk (and 2 others),"238113, 238141",Condominium,Freehold,D9 / River Valley,2010,176 units,"S$ 2,905 psf in Sep 2011 for a 7,685-sqft unit",-21.0%,"S$ 1,488 psf in Jun 2009 for a 3,757-sqft unit","Singaporean 49.7%, PR 20.8%, Foreigner 25.3%, Company 3.8%","HDB 5.5%, Private 94.5%","S$ 2,086 - S$ 2,400 psf / S$ 2,295 psf",S$ 4.6 - S$ 6.2 psf pm / S$ 5.5 psf pm,2.9%,FCL TOWER PTE LTD,15.0,SAA ARCHITECTS PTE LTD,NAKANO SINGAPORE (PTE) LTD,,st-thomas-suites,33 SAINT THOMAS WALK SAINT THOMAS SUITES SINGAPORE 238113,238113,1.29793589010719,103.836437562021,33,SAINT THOMAS WALK,SAINT THOMAS SUITES,SOMERSET MRT STATION,318.9087237054542,Exit A
SHANGHAI ONE,shanghai-one,https://www.edgeprop.sg/condo-apartment/shanghai-one,https://www.edgeprop.sg/condo-apartment/shanghai-one,"1,590","4,451",2.8,SHANGHAI ONE,Shanghai Road,248180,Apartment,Freehold,D10 / Tanglin,2007,52 units,"S$ 1,969 psf in Feb 2025 for a 1,066-sqft unit",-1.1%,"S$ 727 psf in Oct 2004 for a 1,701-sqft unit","Singaporean 63.0%, PR 18.0%, Foreigner 18.0%, Company 0.0%","HDB 29.3%, Private 70.7%","S$ 1,926 - S$ 1,969 psf / S$ 1,948 psf",S$ 4.3 - S$ 6.2 psf pm / S$ 5.2 psf pm,3.2%,CES-SHANGHAI PTE LTD,18.0,ADDP ARCHITECTS,CHIP ENG SENG CONTRACTORS (1988) PTE LTD,,shanghai-one,1 SHANGHAI ROAD SHANGHAI ONE SINGAPORE 248180,248180,1.2948480383694,103.827548220413,1,SHANGHAI ROAD,SHANGHAI ONE,GREAT WORLD MRT STATION,587.7166056655024,Exit 3
SIMS POINT,sims-point,https://www.edgeprop.sg/condo-apartment/sims-point,https://www.edgeprop.sg/condo-apartment/sims-point,807,"2,260",2.8,SIMS POINT,Lorong 19 Geylang,388489,Apartment,Freehold,D14 / Geylang,1993,14 units,"S$ 986 psf in Nov 2022 for a 1,227-sqft unit",0.0%,"S$ 318 psf in Mar 2007 for a 1,227-sqft unit","Singaporean 71.4%, PR 23.8%, Foreigner 4.8%, Company 0.0%","HDB 42.9%, Private 57.1%",S$ 986 - S$ 986 psf / S$ 986 psf,S$ 3.4 - S$ 3.6 psf pm / S$ 3.5 psf pm,4.2%,,,,,,sims-point,4 LORONG 19 GEYLANG SIMS POINT SINGAPORE 388489,388489,1.31312217027915,103.879474779,4,LORONG 19 GEYLANG,SIMS POINT,ALJUNIED MRT STATION,482.6208213468566,Exit A
VISIONCREST,visioncrest,https://www.edgeprop.sg/condo-apartment/visioncrest,https://www.edgeprop.sg/condo-apartment/visioncrest,"13,646","24,212",3.6,VISIONCREST,Oxley Rise,"238467, 238710, 238711, 238712, 238713",Apartment,Freehold,D9 / Museum,2007,265 units,"S$ 2,700 psf in Jan 2008 for a 1,227-sqft unit",-11.6%,"S$ 987 psf in Nov 2003 for a 1,528-sqft unit","Singaporean 63.5%, PR 11.7%, Foreigner 21.7%, Company 3.1%","HDB 19.2%, Private 80.8%","S$ 2,110 - S$ 2,563 psf / S$ 2,388 psf",S$ 4.6 - S$ 7.7 psf pm / S$ 5.9 psf pm,2.9%,WINPEAK INVESTMENT PTE LTD,18.0,RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,GREATEARTH CONSTRUCTION PTE LTD,,visioncrest,39 OXLEY RISE VISIONCREST SINGAPORE 238713,238713,1.29825086698077,103.843081001885,39,OXLEY RISE,VISIONCREST,DHOBY GHAUT MRT STATION,241.89515109285145,Exit C
DUCHESS RESIDENCES,duchess-residences,https://www.edgeprop.sg/condo-apartment/duchess-residences,https://www.edgeprop.sg/condo-apartment/duchess-residences,"14,141","19,733",1.4,DUCHESS RESIDENCES,Duchess Avenue,"266310, 266311, 266312, 266313, 266314",Condominium,999 Yrs From 27/12/1875,D10 / Bukit Timah,2011,120 units,"S$ 2,331 psf in Mar 2025 for a 1,604-sqft unit",-13.3%,"S$ 1,179 psf in Jan 2017 for a 2,756-sqft unit","Singaporean 58.9%, PR 17.7%, Foreigner 15.8%, Company 7.7%","HDB 13.9%, Private 86.1%","S$ 1,735 - S$ 2,331 psf / S$ 2,022 psf",S$ 3.4 - S$ 5.4 psf pm / S$ 4.5 psf pm,2.7%,DUCHESS WALK PTE LTD,14.0,M K P L ARCHITECTS,CHINA CONSTRUCTION (SOUTH PACIFIC) DEVELOPMENT CO PTE LTD,,duchess-residences,106 DUCHESS AVENUE DUCHESS RESIDENCES SINGAPORE 266311,266311,1.3243633877543,103.800930332072,106,DUCHESS AVENUE,DUCHESS RESIDENCES,TAN KAH KEE MRT STATION,771.1453968301711,Exit A
PRIMO RESIDENCES,primo-residences,https://www.edgeprop.sg/condo-apartment/primo-residences,https://www.edgeprop.sg/condo-apartment/primo-residences,"2,870","4,018",1.4,PRIMO RESIDENCES,Jalan Pelikat,"537652, 537653",Apartment,Freehold,D19 / Hougang,2012,64 units,"S$ 1,478 psf in Jul 2023 for a 592-sqft unit",-19.1%,"S$ 869 psf in Apr 2010 for a 1,421-sqft unit","Singaporean 78.0%, PR 17.0%, Foreigner 5.0%, Company 0.0%","HDB 58.0%, Private 42.0%","S$ 1,195 - S$ 1,195 psf / S$ 1,195 psf",S$ 3.1 - S$ 6.0 psf pm / S$ 4.8 psf pm,4.8%,TAIPAN INTERNATIONAL ASSOCIATES PTE LTD,13.0,,,,,,,,,,,,,,
BALCON EAST,balcon-east,https://www.edgeprop.sg/condo-apartment/balcon-east,https://www.edgeprop.sg/condo-apartment/balcon-east,"2,586","3,620",1.4,BALCON EAST,Upper East Coast Road,466519,Apartment,Freehold,D16 / Bedok,2011,37 units,"S$ 1,464 psf in Jul 2022 for a 538-sqft unit",-9.1%,"S$ 611 psf in Jun 2009 for a 1,905-sqft unit","Singaporean 82.5%, PR 15.9%, Foreigner 1.6%, Company 0.0%","HDB 49.2%, Private 50.8%","S$ 1,331 - S$ 1,331 psf / S$ 1,331 psf",S$ 2.7 - S$ 4.6 psf pm / S$ 3.9 psf pm,3.6%,FEATURE LAND PTE LTD,14.0,,,,balcon-east,482 UPPER EAST COAST ROAD BALCON EAST SINGAPORE 466519,466519,1.31474326765884,103.942302354429,482,UPPER EAST COAST ROAD,BALCON EAST,TANAH MERAH MRT STATION,1401.8978847155397,Exit A
WING FONG BUILDING,wing-fong-building,https://www.edgeprop.sg/condo-apartment/wing-fong-building,https://www.edgeprop.sg/condo-apartment/wing-fong-building,771,"2,160",2.8,WING FONG BUILDING,Guillemard Road (and 1 others),"399138, 399685, 399684",Apartment,Freehold,D14 / Geylang,Unknown,Unknown,"S$ 919 psf in Oct 2023 for a 2,045-sqft unit",0.0%,"S$ 763 psf in Aug 2020 for a 2,045-sqft unit","Singaporean 50.0%, PR 50.0%, Foreigner 0.0%, Company 0.0%","HDB 0.0%, Private 100.0%",S$ 919 - S$ 919 psf / S$ 919 psf,S$ 2.5 - S$ 2.5 psf pm / S$ 2.5 psf pm,3.3%,,,,,,wing-fong-building,74C LORONG 8 GEYLANG WING FONG BUILDING SINGAPORE 399138,399138,1.30901790619968,103.877268151182,74C,LORONG 8 GEYLANG,WING FONG BUILDING,STADIUM MRT STATION,638.585394367518,Exit B
BAODE BUILDING,baode-building,https://www.edgeprop.sg/condo-apartment/baode-building,https://www.edgeprop.sg/condo-apartment/baode-building,"1,031","3,094",3.0,BAODE BUILDING,Lorong 35 Geylang,"387940, 387942",Apartment,Freehold,D14 / Geylang,1991,14 units,"S$ 1,093 psf in Apr 2018 for a 1,216-sqft unit",43.8%,"S$ 242 psf in Sep 2006 for a 1,238-sqft unit","Singaporean 93.8%, PR 0.0%, Foreigner 0.0%, Company 6.3%","HDB 43.8%, Private 56.3%","S$ 1,572 - S$ 1,572 psf / S$ 1,572 psf",S$ 3.0 - S$ 3.0 psf pm / S$ 3.0 psf pm,2.3%,,,,,,baode-building,10 LORONG 35 GEYLANG BAODE BUILDING SINGAPORE 387942,387942,1.31519602717988,103.888728476255,10,LORONG 35 GEYLANG,BAODE BUILDING,PAYA LEBAR MRT STATION,403.1975627477239,Exit D
JANSEN MANSIONS,jansen-mansions,https://www.edgeprop.sg/condo-apartment/jansen-mansions,https://www.edgeprop.sg/condo-apartment/jansen-mansions,"1,542","2,158",1.4,JANSEN MANSIONS,Jansen Road,548429,Apartment,999 Yrs From 01/09/1876,D19 / Hougang,1990,12 units,"S$ 762 psf in Aug 2017 for a 1,259-sqft unit",65.9%,"S$ 361 psf in Dec 2006 for a 1,259-sqft unit","Singaporean 88.9%, PR 5.6%, Foreigner 0.0%, Company 5.6%","HDB 55.6%, Private 44.4%","S$ 1,264 - S$ 1,264 psf / S$ 1,264 psf",S$ 2.3 - S$ 2.3 psf pm / S$ 2.3 psf pm,2.1%,,,,,,,,,,,,,,,,
